"level"	"地图片段"	"关卡名"	关卡奖励	引导
"85"	"forest+4+3+16"	"森林16"	random	
"86"	"castle+25+26+30+31"	"城堡12"	Hero+4+1	
"87"	"castle+27+28+29+32"	"城堡13"		
"88"	"cave+34+35+39"	"洞穴6"	random	
"89"	"volcano+40+41+45"	"火山7"	Hero+3+1	
"90"	"maya+63+64+68"	"玛雅8"		
"91"	"dark+101+102+103+104"	"暗黑12"	random	
"92"	"bush+70+71+72+77"	"灌木7"	Hero+3+1	
"93"	"desert+49+50+51+52"	"沙漠8"		
"94"	"ice+79+80+86+87"	"冰雪10"	random	
"95"	"forest+1+2+16"	"森林17"	Hero+2+1	
"96"	"forest+4+3+18"	"森林18"		
"97"	"castle+19+20+31"	"城堡14"	random	
"98"	"castle+21+22+32"	"城堡15"	Hero+4+1	
"99"	"cave+34+35+38"	"洞穴7"		
"100"	"volcano+40+41+45"	"火山8"	Hero+5+1
